"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
0,0,0,0,0,0,0,0,1,0,5,2,1,0,2
0,0,0,0,0,0,0,0,1,13,15,21,22,15,10
0,0,0,0,0,0,0,0,1,1,19,11,2,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,2,0,2,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,2,2
0,0,0,0,0,0,0,0,3,1,1,1,0,1,0
0,0,0,0,0,0,0,0,4,18,19,18,15,2,6
0,0,0,0,0,0,0,0,1,0,2,1,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,5,3,2,3,1
0,0,0,0,0,0,0,0,1,0,4,0,2,1,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1,4,0,8,5,11
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,1,3,0
0,0,0,0,0,0,0,0,1,1,1,14,2,16,0
0,0,0,0,0,0,0,0,4,0,18,7,0,0,1
0,0,0,0,0,0,0,0,1,2,2,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,1,3,15,10,12,28
0,0,0,0,0,0,0,0,3,0,1,2,1,1,0
0,0,0,0,0,0,0,0,1,0,1,1,2,4,0
0,0,0,0,0,0,0,0,1,5,2,1,6,2,2
0,0,0,0,0,0,0,0,3,0,1,0,1,1,0
0,0,0,0,0,0,0,0,2,0,0,5,6,2,6
0,0,0,0,0,0,0,0,2,1,1,1,0,0,0
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,1,2,0,0
0,0,0,0,0,0,0,0,2,0,8,1,4,4,27
0,0,0,0,0,0,0,0,1,4,11,10,13,6,0
0,0,0,0,0,0,0,0,1,0,1,1,2,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1,2,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,6,19,1,2,1,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
0,0,0,0,0,0,0,0,2,1,3,1,0,0,0
0,0,0,0,0,0,0,0,1,1,0,4,0,0,0
0,0,0,0,0,0,0,0,2,2,1,1,0,0,1
0,0,0,0,0,0,0,0,1,6,7,8,11,0,0
0,0,0,0,0,0,0,0,1,0,1,1,2,1,1
0,0,0,0,0,0,0,0,1,1,2,3,4,0,1
0,0,0,0,0,0,0,0,1,1,3,2,1,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,5,1,3,8,8,8,7
0,0,0,0,0,0,0,0,3,0,10,12,16,16,12
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,5,8,4,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,2,3
0,0,0,0,0,0,0,0,1,3,2,2,3,1,0
0,0,0,0,0,0,0,0,1,6,9,14,11,13,18
0,0,0,0,0,0,0,0,2,0,6,2,1,2,2
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,2,15,10,21,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
0,0,0,0,0,0,0,0,1,1,3,6,8,12,0
0,0,0,0,0,0,0,0,0,5,0,2,0,0,2
0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
0,0,0,0,0,0,0,0,0,4,3,3,15,9,10
0,0,0,0,0,0,0,0,0,1,4,3,2,0,0
0,0,0,0,0,0,0,0,0,1,3,4,10,16,3
0,0,0,0,0,0,0,0,0,3,1,2,0,3,1
0,0,0,0,0,0,0,0,0,3,0,2,9,9,2
0,0,0,0,0,0,0,0,0,1,1,3,5,1,2
0,0,0,0,0,0,0,0,0,1,1,8,31,16,19
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
0,0,0,0,0,0,0,0,0,2,3,1,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
